epoch,step,total_steps,loss,lr
1,50,1875,7.7297,0.00049980
1,100,1875,7.4737,0.00049921
1,150,1875,7.4629,0.00049823
1,200,1875,7.0739,0.00049685
1,250,1875,6.8473,0.00049508
1,300,1875,6.7528,0.00049293
1,350,1875,6.6190,0.00049040
1,400,1875,6.5270,0.00048748
1,450,1875,6.3157,0.00048420
1,500,1875,6.4890,0.00048055
1,550,1875,6.1023,0.00047654
1,600,1875,5.9485,0.00047217
1,650,1875,5.8313,0.00046746
1,700,1875,5.8196,0.00046241
1,750,1875,5.6841,0.00045703
1,800,1875,5.6277,0.00045133
1,850,1875,5.4409,0.00044532
1,900,1875,5.3875,0.00043902
1,950,1875,5.3084,0.00043242
1,1000,1875,5.3660,0.00042555
1,1050,1875,4.9287,0.00041842
1,1100,1875,4.8592,0.00041103
1,1150,1875,5.0175,0.00040341
1,1200,1875,4.8667,0.00039556
1,1250,1875,4.6839,0.00038750
1,1300,1875,4.5301,0.00037924
1,1350,1875,4.4289,0.00037080
1,1400,1875,4.5261,0.00036219
1,1450,1875,4.5123,0.00035343
1,1500,1875,4.4686,0.00034453
1,1550,1875,4.3159,0.00033551
1,1600,1875,4.3818,0.00032638
1,1650,1875,4.1020,0.00031716
1,1700,1875,4.2440,0.00030787
1,1750,1875,4.1429,0.00029852
1,1800,1875,3.9162,0.00028913
1,1850,1875,4.1644,0.00027971
1,1875,1875,4.0099,0.00027500
2,50,1875,4.0147,0.00026558
2,100,1875,3.8605,0.00025617
2,150,1875,3.7387,0.00024680
2,200,1875,3.6890,0.00023748
2,250,1875,3.5465,0.00022822
2,300,1875,3.7087,0.00021904
2,350,1875,3.7821,0.00020997
2,400,1875,3.5170,0.00020101
2,450,1875,3.5734,0.00019217
2,500,1875,3.6124,0.00018348
2,550,1875,3.6471,0.00017496
2,600,1875,3.5141,0.00016661
2,650,1875,3.8080,0.00015844
2,700,1875,3.8157,0.00015049
2,750,1875,3.5991,0.00014275
2,800,1875,3.5625,0.00013524
2,850,1875,3.6569,0.00012798
2,900,1875,3.6190,0.00012098
2,950,1875,3.5716,0.00011424
2,1000,1875,3.6264,0.00010779
2,1050,1875,3.2676,0.00010163
2,1100,1875,3.5513,0.00009578
2,1150,1875,3.5034,0.00009024
2,1200,1875,3.3797,0.00008503
2,1250,1875,3.6879,0.00008014
2,1300,1875,3.3436,0.00007560
2,1350,1875,3.4604,0.00007141
2,1400,1875,3.4019,0.00006758
2,1450,1875,3.4828,0.00006411
2,1500,1875,3.4226,0.00006101
2,1550,1875,3.7118,0.00005829
2,1600,1875,3.4564,0.00005594
2,1650,1875,3.4155,0.00005399
2,1700,1875,3.4156,0.00005241
2,1750,1875,3.7331,0.00005123
2,1800,1875,3.6753,0.00005044
2,1850,1875,3.3910,0.00005005
2,1875,1875,3.3452,0.00005000
