1789212339,0, 0, 32
1789212344,3, 0, 32
1789212349,6351, 100, 49
1789212354,6883, 100, 53
1789212359,6883, 100, 54
1789212364,6883, 100, 56
1789212369,6883, 100, 57
1789212375,6883, 100, 58
1789212380,6883, 99, 60
1789212385,6883, 99, 61
1789212390,6883, 99, 62
1789212395,6883, 99, 63
1789212400,6883, 100, 63
1789212405,6883, 100, 64
1789212410,6883, 100, 65
1789212415,6883, 100, 66
1789212420,6883, 99, 67
1789212425,6883, 100, 67
1789212430,6883, 100, 67
1789212435,6883, 100, 68
1789212440,6883, 100, 68
1789212445,6883, 100, 68
1789212450,6883, 100, 69
1789212455,6883, 100, 69
1789212460,6883, 100, 69
1789212465,6883, 100, 69
1789212470,6883, 100, 69
1789212475,6883, 100, 70
1789212480,6883, 100, 70
1789212485,6883, 100, 70
1789212490,6883, 100, 70
1789212495,6883, 100, 70
1789212501,6883, 100, 70
1789212506,6883, 100, 71
1789212511,6883, 100, 71
1789212516,6883, 100, 71
1789212521,6883, 100, 71
1789212526,6883, 100, 72
1789212531,6883, 100, 72
1789212536,6883, 100, 71
1789212541,6883, 100, 72
1789212546,6883, 100, 72
1789212551,6883, 100, 72
1789212556,6883, 100, 72
1789212561,6883, 100, 72
1789212566,6883, 100, 72
1789212571,6883, 100, 72
1789212576,6883, 100, 73
1789212581,6883, 100, 73
1789212587,6883, 100, 73
1789212592,6883, 100, 73
1789212597,6883, 99, 73
1789212602,6883, 100, 73
1789212607,6883, 100, 73
1789212612,6883, 100, 73
1789212617,6883, 100, 73
1789212622,6883, 100, 73
1789212627,6883, 100, 73
1789212632,6883, 100, 73
1789212637,6883, 100, 73
1789212642,6883, 100, 73
1789212647,6883, 100, 73
1789212652,6883, 100, 73
1789212657,6883, 100, 73
1789212662,6883, 100, 73
1789212667,6883, 100, 73
1789212673,6883, 100, 74
1789212678,6883, 100, 73
1789212683,6883, 100, 74
1789212688,6883, 100, 74
1789212693,6883, 100, 73
1789212698,6883, 100, 74
1789212703,6883, 100, 73
1789212708,6883, 100, 74
1789212713,6883, 100, 74
1789212718,6883, 100, 73
1789212723,6883, 100, 74
1789212728,6883, 100, 74
1789212733,6883, 100, 74
1789212738,6883, 100, 74
1789212743,6883, 100, 74
1789212748,6883, 100, 74
1789212753,6883, 100, 74
