1789215858,0, 0, 32
1789215863,3, 0, 32
1789215868,4591, 100, 50
1789215873,4591, 100, 53
1789215878,4591, 100, 54
1789215884,4591, 100, 56
1789215889,4591, 100, 57
1789215894,4591, 100, 58
1789215899,4591, 98, 59
1789215904,4591, 100, 60
1789215909,4591, 100, 62
1789215914,4591, 100, 62
1789215919,4591, 100, 63
1789215924,4591, 100, 64
1789215929,4591, 100, 65
1789215934,4591, 100, 66
1789215939,4591, 100, 66
1789215944,4591, 100, 66
1789215949,4601, 100, 67
1789215954,4601, 99, 68
1789215959,4601, 100, 68
1789215964,4601, 99, 68
1789215970,4601, 100, 68
1789215975,4601, 100, 69
1789215980,4601, 99, 69
1789215985,4601, 100, 69
1789215990,4601, 100, 70
1789215995,4601, 100, 70
1789216000,4601, 100, 70
1789216005,4601, 100, 70
1789216010,4601, 100, 70
1789216015,4601, 100, 70
1789216020,4601, 100, 71
1789216025,4601, 100, 70
1789216030,4601, 100, 70
1789216035,4601, 100, 70
1789216040,4601, 100, 71
1789216045,4601, 100, 71
1789216050,4601, 100, 71
1789216055,4601, 100, 71
1789216060,4601, 100, 72
1789216065,4601, 100, 72
1789216070,4601, 100, 71
1789216075,4601, 100, 72
1789216081,4601, 100, 72
1789216086,4601, 100, 72
1789216091,4601, 100, 72
1789216096,4601, 100, 72
1789216101,4601, 100, 72
1789216106,4601, 100, 72
1789216111,4601, 100, 72
