1789218500,0, 0, 31
1789218505,3, 0, 31
1789218510,5711, 99, 47
1789218515,5711, 100, 52
1789218520,5711, 99, 54
1789218525,5711, 100, 56
1789218530,5711, 99, 57
1789218535,5711, 100, 58
1789218541,5711, 100, 60
1789218546,5711, 100, 61
1789218551,5711, 100, 62
1789218556,5711, 100, 63
1789218561,5711, 100, 64
1789218566,5711, 99, 65
1789218571,5711, 100, 66
1789218576,5711, 100, 66
1789218581,5711, 99, 67
1789218586,5711, 99, 68
1789218591,5711, 99, 68
1789218596,5711, 100, 69
1789218601,5711, 100, 70
1789218606,5711, 100, 70
1789218611,5711, 100, 70
1789218617,5711, 100, 71
1789218622,5711, 100, 72
1789218627,5711, 100, 72
1789218632,5711, 100, 73
1789218637,5711, 100, 73
1789218642,5711, 100, 74
1789218647,5711, 100, 74
1789218652,5711, 100, 74
1789218657,5711, 100, 74
1789218662,5711, 100, 75
1789218667,5711, 99, 75
1789218672,5711, 100, 75
1789218677,5711, 99, 75
1789218682,5711, 99, 75
1789218687,5711, 99, 76
1789218692,5711, 99, 76
1789218698,5711, 99, 76
1789218703,5711, 99, 76
1789218708,5711, 100, 76
1789218713,5711, 99, 76
1789218718,5711, 100, 77
1789218723,5711, 99, 77
1789218728,5711, 99, 77
1789218733,5711, 100, 77
1789218738,5711, 100, 77
1789218743,5711, 99, 77
1789218748,5711, 100, 77
1789218753,5711, 100, 77
1789218758,5711, 100, 77
1789218763,5711, 100, 77
1789218768,5711, 99, 77
1789218773,5711, 100, 77
1789218779,5711, 99, 77
1789218784,5711, 100, 77
1789218789,5711, 99, 77
1789218794,5711, 99, 77
1789218799,5711, 100, 77
1789218804,5711, 99, 78
1789218809,5711, 100, 77
1789218814,5711, 99, 77
1789218819,5711, 100, 77
1789218824,5711, 100, 78
1789218829,5711, 100, 78
1789218834,5711, 100, 78
1789218839,5711, 100, 78
1789218844,5711, 100, 77
1789218849,5711, 100, 77
1789218855,5711, 100, 77
1789218860,5711, 100, 77
1789218865,5711, 99, 77
1789218870,5711, 100, 77
1789218875,5711, 100, 77
1789218880,5711, 100, 77
1789218885,5711, 100, 77
1789218890,5711, 100, 77
1789218895,5711, 100, 77
1789218900,5711, 100, 77
1789218905,5711, 100, 76
1789218910,5711, 100, 76
1789218915,5711, 100, 76
1789218920,5711, 100, 76
1789218925,5711, 99, 76
1789218930,5711, 100, 76
1789218935,5711, 100, 76
1789218940,5711, 100, 75
1789218945,5711, 100, 76
1789218950,5711, 100, 76
1789218955,5711, 100, 76
1789218960,5711, 100, 75
1789218966,5711, 100, 75
1789218971,5711, 100, 75
1789218976,5711, 100, 75
1789218981,5711, 99, 75
1789218986,5711, 100, 75
1789218991,5711, 100, 75
1789218996,5711, 99, 75
1789219001,5711, 100, 75
1789219006,5711, 100, 75
1789219011,5711, 100, 75
1789219016,5711, 100, 74
1789219021,5711, 100, 74
1789219026,5711, 100, 74
1789219031,5711, 100, 74
1789219036,5711, 100, 74
1789219041,5711, 100, 74
1789219047,5711, 100, 74
1789219052,5711, 100, 74
1789219057,5711, 100, 74
1789219062,5711, 100, 74
1789219067,5711, 100, 74
1789219072,5711, 100, 74
1789219077,5711, 99, 74
1789219082,5711, 99, 74
1789219087,5711, 100, 74
1789219092,5711, 100, 74
1789219097,5711, 100, 74
1789219102,5711, 100, 74
1789219107,5711, 100, 74
1789219112,5711, 100, 74
1789219117,5711, 100, 74
1789219122,5711, 100, 74
1789219127,5711, 100, 74
1789219133,5711, 100, 74
1789219138,5711, 100, 73
1789219143,5711, 100, 74
1789219148,5711, 99, 74
1789219153,5711, 95, 73
1789219158,5711, 100, 74
1789219163,5711, 99, 74
1789219168,5711, 100, 74
1789219173,5711, 100, 74
1789219178,5711, 100, 74
1789219183,5711, 99, 74
1789219188,5711, 100, 74
1789219193,5711, 99, 74
1789219198,5711, 99, 73
1789219203,5711, 99, 74
1789219208,5711, 100, 74
1789219213,5711, 100, 73
1789219219,5711, 100, 74
1789219224,5711, 100, 73
1789219229,5711, 100, 73
1789219234,5711, 100, 73
1789219239,5711, 100, 74
