0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 2
1, 2
0, 4
1, 4
0, 4
1, 4
0, 4
1, 260
0, 4
1, 304
0, 416
1, 416
0, 416
1, 416
0, 416
1, 416
0, 3458
1, 3238
0, 3458
1, 3238
0, 1898
1, 1898
0, 1898
1, 1898
0, 1898
1, 1898
0, 1896
1, 6316
0, 9258
1, 9258
0, 9734
1, 9736
0, 9868
1, 9868
0, 9868
1, 9868
0, 10672
1, 10812
0, 10672
1, 10812
0, 10672
1, 10812
0, 10672
1, 10812
0, 10672
1, 10830
0, 10710
1, 10852
0, 10710
1, 10852
0, 10710
1, 10852
0, 11912
1, 11912
0, 11912
1, 11912
0, 7532
1, 8192
0, 8532
1, 8792
0, 8612
1, 8792
0, 8732
1, 8832
0, 8732
1, 8832
0, 8732
1, 8852
0, 11912
1, 11912
0, 11912
1, 7612
0, 8110
1, 8792
0, 8790
1, 8872
0, 8790
1, 8872
0, 8790
1, 8872
0, 8790
1, 8872
0, 8810
1, 8872
0, 11912
1, 11912
0, 8106
1, 8206
0, 8766
1, 8786
0, 8766
1, 8826
0, 8766
1, 8826
0, 8786
1, 8826
0, 8806
1, 8826
0, 11912
1, 11912
0, 11912
1, 11912
0, 8132
1, 8072
0, 8752
1, 8772
0, 8772
1, 8772
0, 8772
1, 8832
0, 8772
1, 8832
0, 9364
1, 9424
0, 11912
1, 11912
0, 8052
1, 8092
0, 8752
1, 8792
0, 8752
1, 8792
0, 8752
1, 8812
0, 8772
1, 8812
0, 8772
1, 8812
0, 11912
1, 11912
0, 11912
1, 11912
0, 8772
1, 8812
0, 8772
1, 8812
0, 8772
1, 8832
0, 8812
1, 8832
0, 8812
1, 8832
0, 11912
1, 11912
0, 7592
1, 11912
0, 8754
1, 8110
0, 8854
1, 8890
0, 8854
1, 8890
0, 8854
1, 8890
0, 8854
1, 8890
0, 11912
1, 11912
0, 11912
1, 11912
0, 8050
1, 8154
0, 8792
1, 8914
0, 8792
1, 8914
0, 8792
1, 8914
0, 8792
1, 8914
0, 11724
1, 11794
0, 11912
1, 11912
0, 11912
1, 11912
0, 8792
1, 8892
0, 8852
1, 8892
0, 8852
1, 8892
0, 8852
1, 8892
0, 8852
1, 8892
0, 11912
1, 11912
0, 11912
1, 11912
0, 8450
1, 8570
0, 8792
1, 8852
0, 8852
1, 8852
0, 8852
1, 8852
0, 8852
1, 8852
0, 11912
1, 11912
0, 11912
1, 11912
0, 8090
1, 8132
0, 8750
1, 8852
0, 8790
1, 8872
0, 8790
1, 8872
0, 8790
1, 8872
0, 9672
1, 9742
0, 11912
1, 11912
0, 7948
1, 8030
0, 8738
1, 8818
0, 8738
1, 8838
0, 8798
1, 8838
0, 8798
1, 8838
0, 8798
1, 8838
0, 11912
1, 11912
0, 11912
1, 11912
0, 8492
1, 8572
0, 8792
1, 8892
0, 8792
1, 8912
0, 8792
1, 8912
0, 8792
1, 8912
0, 11912
1, 11912
0, 11912
1, 11912
0, 8052
1, 8112
0, 8672
1, 8832
0, 8712
1, 8852
0, 8792
1, 8852
0, 8792
1, 8912
0, 8792
1, 8912
0, 11912
1, 11912
0, 11912
1, 11912
0, 8432
1, 8532
0, 8692
1, 8812
0, 8692
1, 8812
0, 8692
1, 8812
0, 8712
1, 8812
0, 11912
1, 11912
0, 11912
1, 11912
0, 8032
1, 8112
0, 8772
1, 8852
0, 8812
1, 8852
0, 8812
1, 8852
0, 8812
1, 8852
0, 8812
1, 8852
0, 11912
1, 11912
0, 11912
1, 11912
0, 8412
1, 8532
0, 8672
1, 8832
0, 8712
1, 8832
0, 8712
1, 8832
0, 8712
1, 8832
0, 11912
1, 11912
0, 11912
1, 7614
0, 8070
1, 8794
0, 8530
1, 8834
0, 8610
1, 8834
0, 8610
1, 8834
0, 8710
1, 8834
0, 11912
1, 11912
0, 11912
1, 11912
0, 10252
1, 7950
0, 8690
1, 8790
0, 8690
1, 8810
0, 8690
1, 8810
0, 8690
1, 8810
0, 8690
1, 8810
0, 11912
1, 11912
0, 11912
1, 11912
0, 8412
1, 8512
0, 8552
1, 8812
0, 8652
1, 8812
0, 8652
1, 8812
0, 8652
1, 8812
0, 11912
1, 11912
0, 11912
1, 11912
0, 8052
1, 8052
0, 8752
1, 8772
0, 8792
1, 8852
0, 8792
1, 8852
0, 8792
1, 8852
0, 11912
1, 11912
0, 11912
1, 11652
0, 8052
1, 8794
0, 8692
1, 8794
0, 8692
1, 8794
0, 8692
1, 8814
0, 8712
1, 8814
0, 8792
1, 9274
0, 11912
1, 11912
0, 11912
1, 11912
0, 8716
1, 8796
0, 8716
1, 8816
0, 8716
1, 8816
0, 8716
1, 8816
0, 8716
1, 8816
0, 11912
1, 11912
0, 11912
1, 11912
0, 8492
1, 8512
0, 8772
1, 8812
0, 8772
1, 8812
0, 8772
1, 8812
0, 8772
1, 8812
0, 11912
1, 11912
0, 7674
1, 11912
0, 8694
1, 8412
0, 8834
1, 8812
0, 8834
1, 8872
0, 8834
1, 8910
0, 8872
1, 8910
0, 11912
1, 11912
0, 11912
1, 11912
0, 8170
1, 8190
0, 8770
1, 8790
0, 8770
1, 8790
0, 8770
1, 8790
0, 8790
1, 8790
0, 8790
1, 8790
0, 11912
1, 11912
0, 11912
1, 11912
0, 8492
1, 8512
0, 8792
1, 8832
0, 8832
1, 8832
0, 8832
1, 8832
0, 8852
1, 8832
0, 11912
1, 11912
0, 11912
1, 11912
0, 8112
1, 8092
0, 8732
1, 8712
0, 8752
1, 8812
0, 8872
1, 8812
0, 8872
1, 8812
0, 8872
1, 8812
0, 11912
1, 11912
0, 11912
1, 11912
0, 8492
1, 8552
0, 8532
1, 8854
0, 8572
1, 8874
0, 8752
1, 8874
0, 8772
1, 8874
0, 11912
1, 11912
0, 11912
1, 11912
0, 11912
1, 11912
0, 11913
1, 11908
0, 11913
1, 11904
0, 11905
1, 11904
0, 11650
1, 4
0, 11650
1, 4
